,Date,Open Price,High Price,Low Price,Close Price
0,01-Jan-1996,407.0,407.9,405.0,407.9
1,02-Jan-1996,407.0,409.0,406.25,406.25
2,03-Jan-1996,409.0,409.0,409.0,409.0
3,04-Jan-1996,405.0,407.0,405.0,406.3
4,05-Jan-1996,401.5,401.5,401.5,401.5
5,08-Jan-1996,401.5,405.0,402.0,404.0
6,09-Jan-1996,404.0,400.0,395.0,399.5
7,10-Jan-1996,399.5,397.0,395.0,396.0
8,11-Jan-1996,399.0,405.0,396.0,405.0
9,12-Jan-1996,403.0,403.0,400.0,402.75
10,15-Jan-1996,397.5,402.0,397.5,398.25
11,16-Jan-1996,398.25,400.0,365.0,400.0
12,17-Jan-1996,400.0,401.0,395.0,396.2
13,18-Jan-1996,396.2,397.5,394.0,397.5
14,19-Jan-1996,395.0,395.0,393.25,393.5
15,22-Jan-1996,395.0,397.5,395.0,397.5
16,23-Jan-1996,393.0,400.0,393.0,396.25
17,24-Jan-1996,396.25,394.5,385.5,394.5
18,25-Jan-1996,394.75,394.75,393.0,393.0
19,29-Jan-1996,392.0,392.0,390.75,390.75
20,30-Jan-1996,390.75,397.0,395.0,395.5
21,31-Jan-1996,395.5,400.0,393.0,400.0
22,01-Feb-1996,400.0,415.0,400.0,415.0
23,02-Feb-1996,415.0,430.0,415.0,429.95
24,05-Feb-1996,429.95,431.0,420.05,430.0
25,06-Feb-1996,430.0,452.5,430.0,440.0
26,07-Feb-1996,440.0,432.0,427.0,428.3
27,08-Feb-1996,435.0,455.0,435.0,455.0
28,09-Feb-1996,455.0,475.0,425.0,472.35
29,12-Feb-1996,472.35,479.0,465.0,467.0
30,13-Feb-1996,480.0,490.0,480.0,490.0
31,14-Feb-1996,490.0,512.5,487.0,508.5
32,15-Feb-1996,508.5,515.0,490.0,513.3
33,16-Feb-1996,513.3,520.0,494.25,514.75
34,19-Feb-1996,514.75,505.0,503.0,504.1
35,20-Feb-1996,504.1,502.5,496.0,496.1
36,22-Feb-1996,496.1,498.0,492.15,492.25
37,23-Feb-1996,492.25,497.0,492.0,497.0
38,26-Feb-1996,497.0,500.0,494.75,500.0
39,27-Feb-1996,500.0,487.5,475.0,475.0
40,28-Feb-1996,475.0,476.0,476.0,476.0
41,29-Feb-1996,476.0,470.0,468.0,469.0
42,01-Mar-1996,469.0,475.0,460.0,472.5
43,04-Mar-1996,475.0,480.0,475.0,480.0
44,06-Mar-1996,487.9,487.9,466.5,466.5
45,07-Mar-1996,466.5,480.0,469.95,480.0
46,08-Mar-1996,480.0,483.95,476.0,483.95
47,11-Mar-1996,483.95,480.0,477.05,479.0
48,12-Mar-1996,479.0,480.0,470.0,480.0
49,13-Mar-1996,480.0,475.2,468.5,468.5
50,14-Mar-1996,468.5,480.0,479.75,480.0
51,15-Mar-1996,480.0,478.05,478.0,478.0
52,18-Mar-1996,478.0,480.0,478.0,478.7
53,19-Mar-1996,478.7,480.0,475.0,480.0
54,21-Mar-1996,480.0,483.7,478.5,478.5
55,22-Mar-1996,478.5,487.0,482.05,484.7
56,25-Mar-1996,484.7,479.9,471.5,479.0
57,26-Mar-1996,479.0,478.0,472.6,472.6
58,27-Mar-1996,472.6,480.0,476.0,476.0
