Date,Open Price,High Price,Low Price,Close Price,Candle Color,Upper Shadow,Lower Shadow,Body,universe_disc,fMag,fBody,fUS,fLS,Bias,Magnitude,fm,md,fcs
01-Jan-1996,407.0,407.9,405.0,407.9,White,0,2,0.8999999999999773,0,,,,,,0,,,
02-Jan-1996,407.0,409.0,406.25,406.25,Black,2,0,0.75,0,,,,,,0,,,
03-Jan-1996,409.0,409.0,409.0,409.0,White,0,0,0.0,0,,,,,,0,,,
04-Jan-1996,405.0,407.0,405.0,406.3,White,0,0,1.3000000000000114,1,VB,VB,TNY,TNY,Negative,1,Extremely Bearish,BR,TNYTNYVBW
05-Jan-1996,401.5,401.5,401.5,401.5,White,0,0,0.0,1,VB,TNY,TNY,TNY,Negative,4,Extremely Bearish,BR,TNYTNYTNYW
11-Jan-1996,399.0,405.0,396.0,405.0,White,0,3,6.0,1,VB,VB,TNY,VB,Positive,1,Extremely Bullish,BL,TNYVBVBW
12-Jan-1996,403.0,403.0,400.0,402.75,Black,0,2,0.25,0,VB,VB,TNY,VB,Positive,3,Extremely Bullish,BL,TNYVBVBB
16-Jan-1996,398.25,400.0,365.0,400.0,White,0,33,1.75,1,VB,VB,TNY,VB,Negative,5,Extremely Bearish,BR,TNYVBVBW
18-Jan-1996,396.2,397.5,394.0,397.5,White,0,2,1.3000000000000114,1,TNY,VB,TNY,VB,Negative,0,Neutral,NT,TNYVBVBW
22-Jan-1996,395.0,397.5,395.0,397.5,White,0,0,2.5,1,VB,VB,TNY,TNY,Positive,1,Extremely Bullish,BL,TNYTNYVBW
23-Jan-1996,393.0,400.0,393.0,396.25,White,3,0,3.25,1,VB,VB,VB,TNY,Negative,1,Extremely Bearish,BR,VBTNYVBW
14-Feb-1996,490.0,512.5,487.0,508.5,White,4,3,18.5,5,VB,VB,VB,BG,Positive,36,Extremely Bullish,BL,VBBGVBW
15-Feb-1996,508.5,515.0,490.0,513.3,White,1,18,4.7999999999999545,3,VB,VB,VS,VB,Positive,46,Extremely Bullish,BL,VSVBVBW
16-Feb-1996,513.3,520.0,494.25,514.75,White,5,19,1.4500000000000457,3,VB,SM,VB,VB,Positive,24,Extremely Bullish,BL,VBVBSMW
19-Feb-1996,514.75,505.0,503.0,504.1,Black,9,1,10.649999999999975,3,VB,VB,VB,VS,Negative,4,Extremely Bearish,BR,VBVSVBB
22-Feb-1996,496.1,498.0,492.15,492.25,Black,1,0,3.850000000000023,5,VB,VB,TNY,TNY,Negative,22,Extremely Bearish,BR,TNYTNYVBB
23-Feb-1996,492.25,497.0,492.0,497.0,White,0,0,4.75,4,VB,VB,TNY,TNY,Negative,7,Extremely Bearish,BR,TNYTNYVBW
26-Feb-1996,497.0,500.0,494.75,500.0,White,0,2,3.0,5,BG,BG,TNY,SM,Positive,3,Very Bullish,BL,TNYSMBGW
27-Feb-1996,500.0,487.5,475.0,475.0,Black,12,0,25.0,5,VB,VB,VB,TNY,Negative,17,Extremely Bearish,BR,VBTNYVBB
29-Feb-1996,476.0,470.0,468.0,469.0,Black,6,1,7.0,5,VB,VB,VB,TNY,Negative,31,Extremely Bearish,BR,VBTNYVBB
08-Mar-1996,480.0,483.95,476.0,483.95,White,0,4,3.9499999999999886,3,VB,VB,TNY,VB,Positive,3,Extremely Bullish,BL,TNYVBVBW
12-Mar-1996,479.0,480.0,470.0,480.0,White,0,9,1.0,3,TNY,VS,TNY,VB,Positive,0,Neutral,NT,TNYVBVSW
19-Mar-1996,478.7,480.0,475.0,480.0,White,0,3,1.3000000000000114,2,TNY,BG,TNY,VB,Positive,0,Neutral,NT,TNYVBBGW
21-Mar-1996,480.0,483.7,478.5,478.5,Black,3,0,1.5,2,TNY,VB,VB,TNY,Positive,0,Neutral,NT,VBTNYVBB
22-Mar-1996,478.5,487.0,482.05,484.7,White,2,3,6.199999999999988,3,VB,VB,BG,VB,Positive,6,Extremely Bullish,BL,BGVBVBW
29-Mar-1996,486.05,503.95,490.0,502.95,White,1,3,16.899999999999974,3,VB,VB,VS,VB,Positive,30,Extremely Bullish,BL,VSVBVBW
17-Apr-1996,617.8,655.0,620.0,648.1,White,6,2,30.30000000000007,8,VB,VB,VB,VS,Positive,88,Extremely Bullish,BL,VBVSVBW
18-Apr-1996,648.1,674.9,630.5,640.9,Black,26,10,7.2000000000000455,4,VB,VB,VB,VB,Positive,46,Extremely Bullish,BL,VBVBVBB
24-Apr-1996,623.6,650.0,631.0,636.05,White,13,7,12.44999999999993,2,TNY,VB,VB,VB,Positive,0,Neutral,NT,VBVBVBW
25-Apr-1996,636.05,643.5,635.05,635.1,Black,7,0,0.9499999999999318,1,VB,VB,VB,TNY,Positive,14,Extremely Bullish,BL,VBTNYVBB
26-Apr-1996,635.1,644.0,626.3,633.55,Black,8,7,1.5500000000000682,1,VB,VB,VB,VB,Positive,9,Extremely Bullish,BL,VBVBVBB
10-May-1996,676.35,693.5,655.0,687.75,White,5,21,11.399999999999974,3,VB,VB,VB,VB,Positive,37,Extremely Bullish,BL,VBVBVBW
13-May-1996,687.75,698.65,681.1,687.35,Black,10,6,0.3999999999999773,2,VB,TNY,VB,VB,Positive,28,Extremely Bullish,BL,VBVBTNYB
14-May-1996,687.35,689.9,674.0,683.95,Black,2,9,3.3999999999999773,4,VB,VB,SM,VB,Positive,7,Extremely Bullish,BL,SMVBVBB
15-May-1996,683.95,688.7,668.0,674.9,Black,4,6,9.050000000000068,5,VB,VB,VB,VB,Negative,12,Extremely Bearish,BR,VBVBVBB
16-May-1996,674.9,693.0,681.0,681.8,White,11,6,6.899999999999977,4,VB,VB,VB,VB,Negative,5,Extremely Bearish,BR,VBVBVBW
17-May-1996,681.8,690.4,663.0,671.35,Black,8,8,10.449999999999932,3,VB,VB,VB,VB,Negative,12,Extremely Bearish,BR,VBVBVBB
20-May-1996,671.35,670.0,661.5,662.15,Black,1,0,9.200000000000044,2,VB,VB,SM,TNY,Negative,12,Extremely Bearish,BR,SMTNYVBB
21-May-1996,662.15,672.0,658.5,666.25,White,5,3,4.100000000000024,1,VB,VB,VB,VB,Negative,15,Extremely Bearish,BR,VBVBVBW
22-May-1996,666.25,670.0,664.5,664.5,Black,3,0,1.75,2,VB,VB,VB,TNY,Negative,6,Extremely Bearish,BR,VBTNYVBB
23-May-1996,664.5,662.25,655.55,659.85,Black,2,4,4.649999999999976,3,BG,VB,BG,VB,Negative,2,Very Bearish,BR,BGVBVBB
28-May-1996,648.25,655.0,640.0,654.0,White,1,8,5.75,4,VB,VB,VS,VB,Negative,5,Extremely Bearish,BR,VSVBVBW
17-Jun-1996,720.0,721.0,710.0,710.0,Black,1,0,10.0,2,TNY,VB,SM,TNY,Negative,0,Neutral,NT,SMTNYVBB
18-Jun-1996,702.5,720.0,700.0,707.45,White,12,2,4.9500000000000455,1,TNY,VB,VB,VB,Positive,0,Neutral,NT,VBVBVBW
19-Jun-1996,710.0,710.0,710.0,710.0,White,0,0,0.0,1,TNY,TNY,TNY,TNY,Positive,0,Neutral,NT,TNYTNYTNYW
